Graph Size,Source,Target,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Mean Time (ms),Distance,Path Length
10,1,10,0.011000,0.000700,0.000500,0.000300,0.000300,0.002560,2,3
64,1,64,0.004900,0.002900,0.001500,0.001600,0.001300,0.002440,5,6
100,1,100,0.005900,0.005200,0.002200,0.001500,0.001500,0.003260,6,7
128,1,128,0.012500,0.004500,0.001500,0.001200,0.001200,0.004180,3,4
256,1,256,0.014500,0.008300,0.004900,0.004500,0.004400,0.007320,9,10
512,1,512,0.032100,0.026400,0.015100,0.010200,0.009200,0.018600,7,8
1024,1,1024,0.060800,0.052300,0.039300,0.029900,0.023700,0.041200,11,12
2048,1,2048,0.108600,0.077300,0.068000,0.057600,0.052400,0.072780,9,10
4096,1,4096,0.277500,0.268000,0.236300,0.264100,0.229200,0.255020,14,15
