Graph Size,Source,Target,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Mean Time (ms),Distance,Path Length
10,1,10,4.074900,3.905300,3.827100,3.791300,5.552300,4.230180,2,3
64,1,64,8.577200,8.151900,8.365300,8.894600,8.647900,8.527380,5,6
100,1,100,10.336500,10.371600,10.507200,10.467200,10.313500,10.399200,7,8
128,1,128,8.948100,8.056400,8.132400,8.289600,8.979200,8.481140,3,4
256,1,256,10.049500,10.503000,10.931500,9.977900,9.792000,10.250780,10,11
512,1,512,11.382800,10.440300,10.506300,11.083100,10.397300,10.761960,10,11
1024,1,1024,8.872100,8.984100,8.779100,9.979700,10.261500,9.375300,12,13
2048,1,2048,21.685300,20.942400,21.536600,21.006600,21.048800,21.243940,12,13
4096,1,4096,40.636400,42.940500,47.384800,40.777700,41.813300,42.710540,25,26
