Graph Size,Source,Target,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Mean Time (ms),Distance,Path Length
10,1,10,0.000800,0.000600,0.000500,0.000300,0.000300,0.000500,2,3
64,1,64,0.004100,0.003400,0.001600,0.002000,0.001200,0.002460,5,6
100,1,100,0.005100,0.004500,0.002000,0.001400,0.001400,0.002880,6,7
128,1,128,0.004700,0.003500,0.001500,0.001800,0.001800,0.002660,3,4
256,1,256,0.014000,0.012200,0.006200,0.004500,0.004200,0.008220,9,10
512,1,512,0.029200,0.026100,0.015000,0.009700,0.009000,0.017800,7,8
1024,1,1024,0.058400,0.051800,0.038800,0.028500,0.021900,0.039880,11,12
2048,1,2048,0.087500,0.091300,0.067000,0.055200,0.048500,0.069900,9,10
4096,1,4096,0.282500,0.254300,0.235100,0.230400,0.228400,0.246140,14,15
